,f1_score,accuracy_score,precision_score,recall_score
aid_centers,0.11320754716981131,0.9865534999046347,0.2608695652173913,0.07228915662650602
aid_related,0.6760563380281689,0.7587259202746519,0.7566638005159071,0.610969682943763
buildings,0.4956063268892794,0.9589452603471295,0.6537867078825348,0.39905660377358493
clothing,0.5810055865921787,0.9892714094983788,0.7289719626168224,0.48297213622291024
cold,0.4474885844748859,0.9826912073240511,0.6533333333333333,0.3402777777777778
death,0.555483452303699,0.9673374022506199,0.7157190635451505,0.45387062566277836
direct_report,0.5118717237126118,0.8490368109860766,0.6928213689482471,0.4058679706601467
earthquake,0.8272363150867824,0.9691493419797825,0.8801136363636364,0.7803526448362721
electricity,0.37060702875399365,0.98121304596605,0.5918367346938775,0.26976744186046514
fire,0.3170731707317073,0.9893190921228304,0.5306122448979592,0.22608695652173913
floods,0.672340425531915,0.9559412550066756,0.8509874326750448,0.5556858147713951
food,0.722495894909688,0.9435914552736983,0.8050182958703607,0.6553191489361702
hospitals,0.09364548494983277,0.9870780087736029,0.18181818181818182,0.06306306306306306
infrastructure_related,0.14906103286384978,0.9308601945451077,0.35674157303370785,0.09421364985163205
medical_help,0.3973941368078176,0.9294297158115583,0.6122961104140527,0.29415310427968655
medical_products,0.42895086321381143,0.9589929429715811,0.6673553719008265,0.31604696673189825
military,0.42314990512333966,0.9710089643333969,0.5807291666666666,0.3328358208955224
missing_people,0.29113924050632917,0.9893190921228304,0.5679012345679012,0.19574468085106383
money,0.37517241379310345,0.9783997711234026,0.5714285714285714,0.2792607802874743
offer,0.0,0.9944688155636087,0.0,0.0
other_aid,0.2416713721061547,0.8719244707228686,0.5206812652068127,0.15735294117647058
other_infrastructure,0.1320590790616855,0.9523650581728018,0.31020408163265306,0.08388520971302428
other_weather,0.22880771881461062,0.9466431432386039,0.4868035190615836,0.14954954954954955
refugees,0.3330049261083744,0.967718863246233,0.5314465408805031,0.242467718794835
request,0.5983881799865682,0.8859431623116536,0.7512647554806071,0.49720982142857145
search_and_rescue,0.26792963464140734,0.9742037001716575,0.553072625698324,0.1767857142857143
security,0.1127348643006263,0.9797348846080488,0.3375,0.06766917293233082
shelter,0.6273493195074531,0.9451649818806027,0.7725458898643256,0.5280960174577196
shops,0.01818181818181818,0.9948502765592219,0.06666666666666667,0.010526315789473684
storm,0.6179706601466992,0.9403967194354377,0.769406392694064,0.5163432073544433
tools,0.012499999999999999,0.9924661453366393,0.03225806451612903,0.007751937984496124
transport,0.350547730829421,0.9604234217051306,0.6956521739130435,0.23430962343096234
water,0.6891566265060242,0.963093648674423,0.7371134020618557,0.6470588235294118
weather_related,0.7462313970235239,0.8739748235742896,0.8538782685124149,0.66268758526603
